"","loan_status","loan_amnt","int_rate","grade","emp_length","home_ownership","annual_inc","age"
"81",0,11000,6.62,"A",8,"OWN",45608,26
"82",0,8000,12.69,"B",5,"MORTGAGE",35000,35
"83",1,10000,18.25,"D",1,"RENT",75000,24
"84",0,8000,11.71,"B",9,"MORTGAGE",35000,24
"85",0,10000,8.9,"A",6,"RENT",24000,33
"86",0,12000,11.71,"B",2,"MORTGAGE",126000,28
"87",0,10000,7.9,"A",1,"RENT",43000,37
"88",0,12000,NA,"B",1,"RENT",50000,26
"89",1,19750,10.65,"B",4,"RENT",45000,42
"90",0,10000,9.91,"B",3,"RENT",31200,25
"91",0,13650,12.42,"B",4,"RENT",66000,45
"92",0,18000,NA,"A",12,"RENT",56964,29
"93",0,2500,14.27,"C",7,"RENT",49500,22
"94",0,35000,8.9,"A",6,"MORTGAGE",125000,23
"95",0,10000,7.51,"A",3,"RENT",33000,25
"96",0,7000,12.69,"B",0,"RENT",30000,23
"97",1,24000,15.96,"C",8,"MORTGAGE",90000,24
"98",0,10625,7.51,"A",5,"MORTGAGE",23000,22
"99",0,5000,14.65,"C",2,"RENT",24000,37
"100",0,8850,6.62,"A",17,"RENT",62000,24
"101",0,6375,NA,"A",4,"RENT",44000,25
"102",0,6000,11.71,"B",1,"RENT",90000,27
"103",1,11100,6.62,"A",30,"RENT",41000,38
"104",0,6200,6.03,"A",5,"MORTGAGE",26500,44
"105",0,15000,18.64,"E",1,"RENT",54000,26
"106",0,4200,11.71,"B",2,"RENT",53000,35
"107",0,14000,14.27,"C",4,"RENT",52800,23
"108",0,8875,7.51,"A",1,"MORTGAGE",38000,26
"109",0,13500,9.91,"B",7,"RENT",38000,21
"110",1,12000,9.91,"B",2,"RENT",42000,24
"111",0,6000,10.65,"B",6,"MORTGAGE",87000,24
"112",1,10000,11.71,"B",8,"RENT",60000,46
"113",0,12000,16.29,"D",5,"MORTGAGE",80000,26
"114",0,7200,12.42,"B",5,"RENT",48000,22
"115",1,5600,14.65,"C",1,"MORTGAGE",85000,24
"116",0,12000,NA,"C",0,"RENT",57000,23
"117",0,8500,6.03,"A",2,"RENT",25000,23
"118",0,8000,9.91,"B",2,"RENT",34000,22
"119",0,8000,12.42,"B",14,"RENT",40000,25
"120",0,15000,17.27,"D",2,"MORTGAGE",44400,23
"121",0,10000,9.91,"B",2,"OWN",30000,32
"122",0,10000,6.62,"A",5,"MORTGAGE",70000,23
"123",0,8000,14.65,"C",3,"RENT",28000,25
"124",0,22000,9.91,"B",2,"MORTGAGE",50000,22
"125",0,6000,14.27,"C",14,"MORTGAGE",94800,23
"126",1,2500,7.51,"A",NA,"OWN",12000,21
"127",0,13500,9.91,"B",2,"MORTGAGE",36000,30
"128",0,25000,12.42,"B",2,"RENT",225000,30
"129",0,10000,NA,"C",2,"RENT",45900,65
"130",0,2500,13.49,"C",4,"RENT",27200,26
"131",0,7325,12.69,"B",1,"RENT",42000,23
"132",0,4000,12.42,"B",5,"RENT",135000,28
"133",1,10000,13.49,"C",5,"RENT",65000,35
"134",1,7750,17.27,"D",0,"RENT",24000,24
"135",0,9600,12.42,"B",11,"RENT",65000,30
"136",0,14000,10.65,"B",3,"RENT",30000,21
"137",0,13350,12.42,"B",19,"RENT",43000,31
"138",1,15000,16.77,"D",17,"RENT",42000,27
"139",1,15000,NA,"D",8,"RENT",75000,50
"140",0,35000,10.65,"B",2,"MORTGAGE",168000,25
"141",0,9000,NA,"B",9,"MORTGAGE",74000,22
"142",1,16000,12.69,"B",1,"RENT",58500,22
"143",0,13500,12.69,"B",5,"RENT",71000,26
"144",0,24000,12.69,"B",13,"RENT",75000,22
"145",0,12000,10.65,"B",5,"RENT",60000,26
"146",0,14000,6.62,"A",31,"RENT",66000,26
"147",1,12000,NA,"C",8,"MORTGAGE",70000,33
"148",0,25000,11.71,"B",12,"MORTGAGE",100000,23
"149",0,9000,12.69,"B",5,"RENT",50000,25
"150",0,13250,10.65,"B",4,"RENT",35000,28
"151",0,20000,13.49,"C",6,"RENT",75000,28
"152",0,3000,14.65,"C",5,"RENT",71000,22
"153",0,7350,10.65,"B",16,"MORTGAGE",48000,21
"154",0,11500,15.27,"C",5,"RENT",36000,30
"155",1,13650,12.42,"B",16,"MORTGAGE",86000,32
"156",1,10500,16.29,"D",3,"RENT",30000,25
"157",0,12000,9.91,"B",2,"RENT",60000,28
"158",0,6000,8.9,"A",3,"RENT",34000,27
"159",0,11500,15.27,"C",25,"MORTGAGE",44200,27
"160",0,7000,12.42,"B",7,"MORTGAGE",82000,26
"161",0,2000,15.27,"C",2,"RENT",41000,27
"162",0,11625,13.49,"C",0,"MORTGAGE",36000,22
"163",1,15075,NA,"C",14,"RENT",35000,31
"164",0,5300,15.27,"C",1,"RENT",30000,25
"165",0,8200,6.62,"A",0,"RENT",40000,26
"166",0,12000,NA,"B",9,"MORTGAGE",105000,25
"167",0,8650,14.27,"C",4,"MORTGAGE",45000,23
"168",0,12000,12.42,"B",2,"RENT",83000,31
"169",1,9500,12.69,"B",0,"MORTGAGE",52500,22
"170",0,7400,NA,"C",0,"OWN",25000,26
"171",0,14400,13.49,"C",19,"MORTGAGE",60000,28
"172",1,7200,7.9,"A",3,"RENT",68000,23
"173",0,4000,7.51,"A",0,"RENT",65000,24
"174",0,1500,17.27,"D",11,"MORTGAGE",144000,24
"175",0,19600,12.42,"B",2,"RENT",75000,22
"176",0,2500,11.71,"B",7,"MORTGAGE",29000,54
"177",1,10000,12.69,"B",2,"RENT",70000,22
"178",0,10000,6.62,"A",5,"RENT",45000,21
"179",0,4225,12.42,"B",5,"MORTGAGE",55200,25
"180",0,3500,7.9,"A",7,"MORTGAGE",61440,35
"181",0,12000,NA,"A",27,"MORTGAGE",56000,24
"182",0,16500,NA,"A",0,"RENT",47000,26
"183",0,12000,NA,"C",1,"RENT",71000,29
"184",0,10800,NA,"B",8,"RENT",135000,28
"185",0,14000,12.42,"B",12,"MORTGAGE",63000,25
"186",0,6000,13.49,"C",5,"MORTGAGE",50000,35
"187",0,12000,9.91,"B",5,"RENT",80000,24
"188",0,10000,12.42,"B",4,"RENT",45000,29
"189",0,8000,7.9,"A",2,"RENT",78000,31
"190",0,14125,9.91,"B",1,"RENT",33000,25
"191",0,14000,12.69,"B",5,"RENT",62800,24
"192",0,4000,19.03,"E",19,"MORTGAGE",80000,25
"193",1,4000,12.69,"B",2,"RENT",25000,22
"194",0,10500,6.03,"A",12,"MORTGAGE",65000,23
"195",0,5500,7.9,"A",23,"OWN",59000,34
"196",0,7350,11.71,"B",1,"RENT",33000,24
"197",1,10000,12.42,"B",10,"RENT",39000,22
"198",0,12000,7.51,"A",13,"RENT",42000,32
"199",0,4500,8.9,"A",20,"MORTGAGE",50700,24
"200",0,18000,12.42,"B",1,"OWN",75000,29
"201",0,12000,13.49,"C",6,"RENT",40000,24
"202",0,10000,13.49,"C",10,"MORTGAGE",50000,25
"203",0,6000,7.9,"A",7,"MORTGAGE",80000,25
"204",0,12000,12.69,"B",4,"RENT",40000,27
"205",1,12000,8.9,"A",7,"RENT",80000,30
"206",0,7000,11.71,"B",2,"RENT",75000,29
"207",0,1400,7.9,"A",1,"RENT",28800,29
"208",0,3200,9.91,"B",9,"RENT",61200,26
"209",0,8000,7.9,"A",1,"RENT",40000,22
"210",0,5000,6.03,"A",9,"MORTGAGE",54000,22
"211",0,1800,6.62,"A",16,"RENT",18000,21
"212",0,35000,8.9,"A",5,"RENT",85000,37
"213",0,18000,8.9,"A",5,"RENT",78000,34
"214",1,14000,7.9,"A",11,"OWN",45600,23
"215",0,5000,12.42,"B",2,"RENT",70000,38
"216",0,8000,15.96,"C",4,"RENT",70000,25
"217",0,10000,NA,"A",9,"MORTGAGE",80000,24
"218",0,10000,7.51,"A",5,"RENT",50000,23
"219",0,12000,12.42,"B",10,"MORTGAGE",35000,23
"220",0,23200,7.9,"A",3,"MORTGAGE",65000,31
"221",0,4800,15.27,"C",29,"MORTGAGE",75000,25
"222",0,7300,11.71,"B",6,"RENT",35000,29
"223",0,10400,9.91,"B",6,"RENT",40000,25
"224",0,6600,9.91,"B",1,"MORTGAGE",100000,24
"225",0,12000,8.9,"A",7,"OWN",40000,21
"226",0,13250,17.27,"D",11,"RENT",52000,29
"227",0,12000,11.71,"B",3,"RENT",92500,26
"228",0,25000,9.91,"B",9,"RENT",61000,28
"229",0,6000,NA,"B",16,"RENT",36000,25
"230",0,12000,7.51,"A",18,"MORTGAGE",68000,23
"231",0,14400,11.71,"B",1,"RENT",80000,22
"232",0,10000,12.42,"B",15,"RENT",43000,27
"233",0,8000,11.71,"B",1,"RENT",150000,28
"234",1,8000,16.29,"D",5,"RENT",50000,21
"235",0,13250,11.71,"B",2,"OWN",35000,37
"236",0,14000,14.27,"C",6,"RENT",80000,34
"237",0,10000,16.29,"D",15,"RENT",40000,38
"238",0,4000,6.03,"A",1,"RENT",55000,45
"239",0,13000,9.91,"B",6,"RENT",110000,40
"240",0,28000,12.69,"B",5,"RENT",100000,25
"241",0,10000,13.49,"C",3,"RENT",62000,23
"242",0,20000,7.9,"A",0,"RENT",45000,22
"243",0,18000,9.91,"B",5,"RENT",110000,27
"244",0,10000,11.71,"B",3,"RENT",33000,26
"245",0,4200,6.03,"A",3,"RENT",61000,23
"246",0,24000,16.29,"D",2,"RENT",50964,21
"247",0,4475,15.27,"C",3,"RENT",43680,28
"248",0,12000,12.42,"B",5,"RENT",50700,29
"249",1,5000,12.42,"B",2,"RENT",30000,26
"250",0,3000,6.03,"A",5,"RENT",50000,25
"251",1,12000,9.91,"B",17,"RENT",55000,45
"252",0,20000,15.27,"C",13,"MORTGAGE",50000,25
"253",0,10000,NA,"C",3,"RENT",84000,25
"254",0,15000,12.42,"B",6,"OWN",155000,32
"255",0,12000,7.9,"A",0,"MORTGAGE",62000,26
"256",0,6300,11.71,"B",2,"RENT",30000,21
"257",1,10000,11.71,"B",5,"RENT",32000,42
"258",1,24000,8.9,"A",17,"MORTGAGE",116400,32
"259",0,14400,12.69,"B",9,"MORTGAGE",40000,22
"260",0,6000,14.65,"C",7,"RENT",34000,32
"261",0,22000,15.96,"C",5,"MORTGAGE",73000,22
"262",1,12000,NA,"B",17,"RENT",57200,28
"263",0,16000,16.77,"D",0,"MORTGAGE",114000,33
"264",0,10000,10.65,"B",14,"MORTGAGE",90000,29
"265",1,10000,12.69,"B",2,"RENT",35000,27
"266",0,3500,NA,"C",7,"RENT",56000,23
"267",0,9600,9.91,"B",5,"RENT",35000,25
"268",0,9875,7.9,"A",15,"MORTGAGE",40000,22
"269",0,4800,7.9,"A",6,"RENT",48000,23
"270",0,7800,6.03,"A",12,"OWN",85000,30
"271",0,20000,14.27,"C",11,"MORTGAGE",70000,26
"272",1,9750,7.51,"A",4,"RENT",35000,27
"273",0,5000,6.03,"A",9,"MORTGAGE",30000,25
"274",0,9000,14.65,"C",4,"RENT",45000,28
"275",0,7200,7.9,"A",1,"RENT",55000,25
"276",0,25000,15.27,"C",8,"OWN",82000,24
"277",0,10000,15.96,"C",13,"RENT",53000,33
"278",1,8875,12.69,"B",5,"MORTGAGE",35360,25
"279",0,15550,11.71,"B",13,"RENT",54000,23
"280",0,7500,12.69,"B",5,"RENT",65000,29
"281",0,8875,8.9,"A",6,"OWN",28800,22
"282",0,4500,17.27,"D",1,"RENT",42000,21
"283",0,5800,12.42,"B",3,"RENT",36000,27
"284",0,10000,11.71,"B",2,"RENT",40000,21
"285",0,10000,9.91,"B",4,"RENT",50000,35
"286",0,14000,11.71,"B",1,"RENT",52000,39
"287",1,12000,NA,"A",3,"RENT",32000,29
"288",0,24000,7.9,"A",6,"OWN",75000,23
"289",0,14000,14.27,"C",0,"RENT",80000,23
"290",0,12000,8.9,"A",7,"MORTGAGE",40246,38
"291",1,8050,12.69,"B",1,"RENT",36000,22
"292",0,5600,10.65,"B",6,"RENT",60000,22
"293",0,7500,9.91,"B",3,"RENT",31200,22
"294",0,7000,11.71,"B",15,"RENT",90000,35
"295",0,5400,7.9,"A",4,"RENT",40000,29
"296",0,16000,12.42,"B",1,"RENT",90000,27
"297",0,9800,16.29,"D",4,"RENT",67000,39
"298",0,5000,6.62,"A",1,"RENT",276000,28
"299",0,9900,11.71,"B",6,"RENT",26400,22
"300",0,4000,11.71,"B",NA,"RENT",24000,25
"301",0,15000,11.71,"B",3,"MORTGAGE",68400,31
"302",0,6250,15.96,"C",1,"RENT",29120,25
"303",0,6400,16.29,"D",0,"RENT",29120,25
"304",0,12000,15.27,"C",4,"MORTGAGE",54000,32
"305",0,15000,NA,"A",5,"MORTGAGE",30000,28
"306",0,6500,14.27,"C",4,"MORTGAGE",30000,25
"307",0,8000,15.96,"C",16,"RENT",50000,24
"308",0,15000,14.65,"C",11,"MORTGAGE",100500,27
"309",0,10200,NA,"C",3,"RENT",40000,26
"310",0,9000,12.42,"B",5,"MORTGAGE",47000,28
"311",0,6500,16.29,"D",3,"MORTGAGE",68000,25
"312",0,2000,7.9,"A",4,"RENT",39600,27
"313",0,8000,13.49,"C",3,"OWN",30000,22
"314",0,8875,7.51,"A",1,"RENT",30000,25
"315",1,1500,18.64,"E",0,"RENT",17000,21
"316",0,8000,12.42,"B",3,"RENT",42000,31
"317",0,6500,11.71,"B",4,"RENT",42000,20
"318",0,9600,13.49,"C",3,"MORTGAGE",27000,21
"319",0,10000,7.9,"A",5,"MORTGAGE",46000,40
"320",0,15000,12.42,"B",17,"MORTGAGE",80000,23
"321",0,9000,6.62,"A",3,"MORTGAGE",45000,25
"322",0,10000,7.9,"A",2,"RENT",72500,36
"323",1,1000,14.65,"C",NA,"RENT",18408,51
"324",0,14000,7.9,"A",2,"RENT",30000,24
"325",1,8500,14.27,"C",9,"RENT",50000,25
"326",0,4500,15.96,"C",5,"MORTGAGE",65000,28
"327",0,3000,7.51,"A",18,"MORTGAGE",65000,27
"328",0,10000,9.91,"B",4,"MORTGAGE",120000,25
"329",0,7200,15.27,"C",4,"RENT",54990,25
"330",0,23000,7.9,"A",2,"MORTGAGE",137000,50
"331",0,7000,8.9,"A",1,"RENT",46000,34
"332",0,21000,12.69,"B",8,"MORTGAGE",135000,24
"333",0,8250,7.51,"A",NA,"MORTGAGE",31500,25
"334",0,13000,NA,"B",13,"RENT",65000,31
"335",0,18000,6.62,"A",2,"MORTGAGE",78000,29
"336",0,7200,6.03,"A",5,"MORTGAGE",60000,31
"337",0,16500,8.9,"A",11,"RENT",48000,22
"338",0,8125,7.9,"A",0,"RENT",25000,21
"339",0,18800,7.51,"A",3,"MORTGAGE",82000,35
"340",0,26800,NA,"E",13,"MORTGAGE",82000,42
"341",0,19200,7.9,"A",5,"MORTGAGE",42000,24
"342",0,4000,12.42,"B",5,"MORTGAGE",38000,23
"343",0,4000,16.29,"D",4,"RENT",35000,25
"344",0,12000,9.91,"B",13,"OWN",33000,22
"345",0,2625,11.71,"B",11,"MORTGAGE",52800,23
"346",0,7000,9.91,"B",17,"RENT",73882,39
"347",0,11300,12.69,"B",7,"MORTGAGE",36000,23
"348",0,4000,NA,"B",19,"MORTGAGE",130000,30
"349",0,8000,6.03,"A",24,"MORTGAGE",57200,21
"350",1,14400,NA,"D",5,"RENT",51871,24
"351",0,4375,12.42,"B",2,"OWN",15000,28
"352",0,4100,7.51,"A",9,"MORTGAGE",70197,32
"353",0,6000,8.9,"A",7,"RENT",47000,24
"354",0,4000,NA,"A",6,"MORTGAGE",120000,44
"355",1,3000,10.65,"B",13,"MORTGAGE",86004,25
"356",0,5400,12.69,"B",12,"MORTGAGE",75000,23
"357",1,15000,16.29,"D",1,"RENT",110000,60
"358",0,10400,12.69,"B",4,"RENT",44000,24
"359",0,11500,12.42,"B",0,"RENT",38500,27
"360",0,10000,6.62,"A",4,"RENT",75000,24
"361",0,3600,8.9,"A",11,"RENT",55000,25
"362",1,10000,17.27,"D",8,"RENT",68000,32
"363",0,15000,18.25,"D",17,"MORTGAGE",66000,24
"364",0,8000,11.71,"B",8,"RENT",85000,28
"365",1,16000,7.9,"A",1,"RENT",51000,51
"366",0,8000,10.65,"B",2,"RENT",55000,23
"367",0,7200,7.51,"A",19,"MORTGAGE",47000,41
"368",0,12000,7.51,"A",4,"RENT",86000,27
"369",1,2200,15.27,"C",11,"OWN",48000,24
"370",0,6000,7.51,"A",2,"MORTGAGE",50000,24
"371",0,14400,NA,"C",2,"RENT",42996,22
"372",0,14050,8.9,"A",3,"MORTGAGE",120000,33
"373",0,6000,13.49,"C",17,"OWN",62691,38
"374",0,10525,7.9,"A",4,"RENT",49668,29
"375",0,7200,15.96,"C",2,"RENT",30000,31
"376",0,12000,13.49,"C",14,"MORTGAGE",40000,26
"377",0,12000,NA,"B",5,"MORTGAGE",100000,39
"378",0,3000,11.71,"B",2,"RENT",56312,33
"379",0,9500,16.29,"D",10,"RENT",54011,26
"380",0,19775,12.42,"B",2,"RENT",49110.32,30
"381",0,30000,12.42,"B",2,"RENT",80000,29
"382",0,16000,NA,"B",9,"MORTGAGE",55000,30
"383",0,14500,14.65,"C",8,"RENT",90000,33
"384",0,4150,10.65,"B",4,"RENT",100000,23
"385",0,24000,16.77,"D",6,"RENT",70000,53
"386",1,21250,12.42,"B",5,"RENT",37000,22
"387",0,10000,14.27,"C",34,"OWN",75000,30
"388",0,4000,15.96,"C",6,"RENT",39000,30
"389",0,15000,11.71,"B",0,"RENT",60000,22
"390",0,3600,15.96,"C",3,"RENT",40000,23
"391",1,15000,15.27,"C",11,"RENT",60000,23
"392",0,12375,7.51,"A",6,"RENT",42000,26
"393",1,4000,12.69,"B",6,"RENT",30000,27
"394",0,13000,10.65,"B",16,"MORTGAGE",50000,22
"395",0,5000,6.62,"A",1,"MORTGAGE",39396,22
"396",0,5000,15.96,"C",7,"OWN",98000,31
"397",0,26000,11.71,"B",16,"RENT",62500,23
"398",0,8000,7.9,"A",21,"RENT",32400,22
"399",1,1700,NA,"A",NA,"MORTGAGE",37800,34
"400",0,16000,9.91,"B",11,"RENT",50000,35
"401",1,12000,14.65,"C",6,"RENT",54400,22
"402",0,7000,NA,"B",7,"MORTGAGE",72800,27
"403",1,13000,16.29,"D",14,"RENT",28000,26
"404",0,18000,13.49,"C",8,"MORTGAGE",96000,30
"405",0,10000,16.29,"D",3,"RENT",83200,22
"406",1,11200,12.42,"B",3,"RENT",75000,30
"407",0,7000,10.65,"B",3,"RENT",52000,23
"408",0,8000,6.03,"A",6,"RENT",57600,41
"409",0,12000,17.27,"D",2,"RENT",95000,23
"410",0,22000,14.65,"C",0,"RENT",58000,25
"411",0,6200,10.65,"B",18,"MORTGAGE",24000,36
"412",0,15900,NA,"B",9,"MORTGAGE",58000,29
"413",0,5000,NA,"A",NA,"MORTGAGE",70000,26
"414",0,16000,NA,"A",3,"MORTGAGE",104000,33
"415",0,5000,11.71,"B",4,"RENT",35000,24
"416",0,3150,15.27,"C",5,"RENT",53000,36
"417",1,12000,14.27,"C",2,"RENT",28000,23
"418",1,28000,7.9,"A",4,"MORTGAGE",118000,24
"419",0,5000,12.42,"B",0,"RENT",40000,23
"420",0,3000,9.91,"B",NA,"MORTGAGE",42000,25
"421",1,3000,7.9,"A",11,"MORTGAGE",65000,27
"422",0,8400,6.62,"A",2,"RENT",25000,22
"423",0,7000,10.65,"B",14,"MORTGAGE",36000,30
"424",0,2000,9.91,"B",1,"MORTGAGE",231252,27
"425",1,8575,17.58,"D",NA,"MORTGAGE",32000,28
"426",0,10000,7.9,"A",6,"RENT",66000,27
"427",0,25000,19.42,"E",2,"MORTGAGE",92000,29
"428",0,8000,11.71,"B",13,"RENT",70000,24
"429",0,25000,11.71,"B",8,"MORTGAGE",76896,23
"430",0,2000,NA,"B",24,"RENT",24000,24
"431",0,16800,14.65,"C",2,"RENT",60000,22
"432",0,8000,8.9,"A",3,"MORTGAGE",120000,32
"433",1,11000,7.9,"A",4,"MORTGAGE",80000,26
"434",1,5000,16.29,"D",6,"MORTGAGE",85000,33
"435",0,18000,16.29,"D",12,"OWN",140000,28
"436",1,10000,12.69,"B",6,"OWN",36000,30
"437",0,5000,9.91,"B",0,"RENT",70000,34
"438",0,10000,NA,"D",4,"RENT",51360,22
"439",0,25000,9.91,"B",4,"RENT",163000,29
"440",0,2400,12.69,"B",4,"MORTGAGE",59393,24
"441",1,3000,16.29,"D",4,"MORTGAGE",65000,25
"442",1,7700,16.77,"D",3,"RENT",29772.96,23
"443",0,2400,13.49,"C",0,"OWN",12996,23
"444",0,5000,10.65,"B",1,"OWN",44475,24
"445",0,14000,17.58,"D",11,"MORTGAGE",88000,31
"446",0,2400,10.65,"B",3,"MORTGAGE",36000,30
"447",0,1800,12.42,"B",7,"RENT",117000,27
"448",1,22200,19.42,"E",2,"RENT",160000,30
"449",1,13000,7.9,"A",10,"RENT",28000,25
"450",0,8000,NA,"B",5,"RENT",48000,23
"451",1,3600,12.69,"B",12,"MORTGAGE",60000,26
"452",0,9400,9.91,"B",2,"RENT",45500,26
"453",0,9600,14.27,"C",6,"MORTGAGE",156000,26
"454",0,17000,10.65,"B",1,"RENT",40000,22
"455",0,10800,14.27,"C",6,"MORTGAGE",110000,42
"456",0,6000,7.9,"A",16,"RENT",59400,24
"457",0,35000,NA,"A",16,"MORTGAGE",106000,22
"458",0,10000,NA,"B",7,"RENT",36000,26
"459",0,5000,12.69,"B",2,"RENT",25000,26
"460",1,7100,14.65,"C",1,"RENT",33000,25
"461",0,12000,16.77,"D",13,"MORTGAGE",93000,25
"462",0,5825,10.65,"B",8,"RENT",50000,23
"463",1,22250,12.69,"B",2,"RENT",41000,23
"464",0,6000,12.42,"B",4,"RENT",30000,22
"465",1,7650,11.71,"B",5,"RENT",57000,23
"466",0,13200,7.9,"A",6,"MORTGAGE",62500,21
"467",0,12000,7.51,"A",0,"RENT",60000,21
"468",0,15000,6.03,"A",7,"RENT",60000,26
"469",0,12800,12.42,"B",1,"MORTGAGE",99600,25
"470",0,27575,NA,"B",1,"MORTGAGE",54000,27
"471",0,7000,12.69,"B",8,"RENT",49000,31
"472",0,10000,14.27,"C",4,"RENT",44160,23
"473",0,14125,7.9,"A",5,"RENT",32000,23
"474",0,12000,6.62,"A",0,"MORTGAGE",94500,35
"475",0,9575,6.62,"A",3,"RENT",19498,27
"476",1,12000,15.96,"C",9,"MORTGAGE",88000,31
"477",0,10000,12.69,"B",4,"RENT",45000,25
"478",0,10000,15.96,"C",1,"RENT",37500,25
"479",0,24000,9.91,"B",4,"RENT",120000,22
"480",0,14575,10.65,"B",7,"RENT",35000,26
"481",0,9000,NA,"A",0,"MORTGAGE",50000,28
"482",1,10000,13.49,"C",15,"RENT",30000,46
"483",0,7125,17.58,"D",7,"RENT",25279.67,23
"484",0,13000,13.49,"C",6,"RENT",65000,24
"485",1,21600,17.27,"D",2,"MORTGAGE",58600,27
"486",0,7000,12.42,"B",15,"RENT",85000,26
"487",0,7000,8.9,"A",5,"RENT",45000,26
"488",0,3600,17.27,"D",7,"MORTGAGE",44004,22
"489",0,3500,12.69,"B",11,"MORTGAGE",84996,36
"490",0,5000,8.9,"A",6,"RENT",33000,29
"491",0,10000,11.71,"B",5,"MORTGAGE",60000,23
"492",0,4500,13.49,"C",0,"OWN",19200,36
"493",0,12000,11.71,"B",14,"RENT",62000,30
