Transaction ID,Date,Time,City,State,Postal Code,Location,Service Total,Extras Total,Final Amount,Frequency,Discount Code,Discount from Code,Discount from Frequency,Discount from Referral,Giftcard Amount Used,Date Created,Created By,Next Booking Date,Services,Booking ID,Customer ID,Date Cancelled,Cancelled By,Cancellation Fees,Booking Status
ch_161q3Q2Iw89207WNke65QSdF,05/13/2015,3:00pm,Seattle,WA,98106,NW Maids,159.00,60.00,0.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/11/2015 7:41pm,Brian Cochrane (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, Move in/Move out cleaning (w/fridge) $60",29,30,,,,complete
ch_1655J12Iw89207WNTYJ7qe6I,05/21/2015,12:00pm,Seattle,WA,98101,NW Maids,119.00,0.00,0.00,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,05/08/2015 12:22am,,06/04/2015 12:00pm,One Bedroom Apt:  $119 Flat rate,27,27,,,,complete
ch_166YWf2Iw89207WNRkRMENV0,05/26/2015,9:00am,Seattle,WA,98102,NW Maids,119.00,100.00,219.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/25/2015 12:30am,Vanja Oljaca (Customer),,"One Bedroom Apt:  $119 Flat rate, 1 x inside the oven, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",32,34,,,,complete
ch_1678VW2Iw89207WNr5mMeF2r,05/27/2015,12:00pm,Renton,WA,98057,NW Maids,159.00,20.00,161.10,Monthly 10% off,,0.00,17.90,0.00,0.00,05/22/2015 11:40am,Terri Bowen (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, Finished Basement (standard) $20",31,33,,,,complete
ch_168FeW2Iw89207WNh6ekyu5B,05/30/2015,2:00pm,Seattle,WA,98121,NW Maids,119.00,60.00,179.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/30/2015 12:28pm,Ilya Ornatov (Admin),,"One Bedroom Apt:  $119 Flat rate, Move in/Move out cleaning (w/fridge) $60",36,38,,,,complete
ch_1680l62Iw89207WNXxZu9ccE,05/30/2015,3:00pm,Seattle,WA,98199,NW Maids,119.00,60.00,179.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/29/2015 1:16pm,Karen Houser (Customer),,"One Bedroom Apt:  $119 Flat rate, Move in/Move out cleaning (w/fridge) $60",35,36,,,,complete
ch_1696cZ2Iw89207WNa1HVPLmo,06/01/2015,12:00pm,Seattle,WA,98117,NW Maids,119.00,60.00,179.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/29/2015 12:10am,Andrew Smith (Customer),,"One Bedroom Apt:  $119 Flat rate, deep cleaning",34,35,,,,complete
ch_169qck2Iw89207WNQrqSYha8,06/04/2015,12:00pm,Seattle,WA,98101,NW Maids,119.00,0.00,0.00,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,05/22/2015 12:15am,,,One Bedroom Apt:  $119 Flat rate,30,27,,,,complete
ch_16CJ202Iw89207WNMOLksSgh,06/10/2015,9:00am,Seattle,WA,98199,NW Maids,189.00,0.00,214.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/03/2015 6:28am,Debbie Medved (Customer),,Four Bedroom Home:  $189 Flat rate,37,39,,,,complete
ch_16E10o2Iw89207WNGus9Ox0t,06/15/2015,9:00am,DesMoines,WA,98198,NW Maids,189.00,20.00,209.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/11/2015 1:33pm,Debra Severin (Customer),,"Four Bedroom Home:  $189 Flat rate, Finished Basement (standard) $20",40,42,,,,complete
ch_16IyM12Iw89207WNgGZJGEJB,06/29/2015,9:00am,Seattle,WA,98103,NW Maids,189.00,60.00,249.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/25/2015 6:26am,Leslie Spurr (Customer),,"Four Bedroom Home:  $189 Flat rate, Move in/Move out cleaning (w/fridge) $60",41,43,,,,complete
ch_16P3kp2Iw89207WNjWkkBqYX,07/16/2015,9:00am,Seattle,WA,98136,NW Maids,119.00,60.00,179.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/13/2015 10:25am,Claire Lyles (Customer),,"One Bedroom Apt:  $119 Flat rate, Move in/Move out cleaning (w/fridge) $60",43,44,,,,complete
ch_16P3ku2Iw89207WNrtWfKwj5,07/16/2015,12:00pm,Seattle,WA,98144,NW Maids,189.00,140.00,279.65,Every two weeks 15% off -Most Popular-,,0.00,49.35,0.00,0.00,07/14/2015 6:31pm,Victoria Burwell (Customer),07/31/2015 3:00pm,"Four Bedroom Home:  $189 Flat rate, inside windows, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",45,46,,,,complete
ch_16POXn2Iw89207WNNMsTxKJx,07/17/2015,9:00am,Edmonds,WA,98020,NW Maids,189.00,0.00,189.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/13/2015 11:50am,Liz Symes (Customer),,Four Bedroom Home:  $189 Flat rate,44,45,,,,complete
ch_16POXs2Iw89207WN17vrTE02,07/17/2015,1:00pm,Seattle,WA,98119,NW Maids,159.00,60.00,219.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/15/2015 10:22am,Donald Spann (Staff),10/11/2019 3:00pm,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning",47,48,,,,complete
ch_16Pmt82Iw89207WNRCcecdZH,07/18/2015,9:00am,Seattle,WA,98102,NW Maids,119.00,0.00,101.15,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,07/16/2015 11:53am,Robin Hood (Customer),07/30/2015 10:00am,One Bedroom Apt:  $119 Flat rate,48,50,,,,complete
ch_16QPlf2Iw89207WNvc82wVQW,07/18/2015,12:00pm,Seattle,WA,98107,NW Maids,159.00,120.00,309.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/15/2015 1:01am,Michelle Swartz (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning, inside windows",46,47,,,,complete
ch_16U8852Iw89207WNJq0lcxZe,07/30/2015,10:00am,Seattle,WA,98102,NW Maids,119.00,0.00,101.15,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,07/19/2015 12:29am,,08/18/2015 9:00am,One Bedroom Apt:  $119 Flat rate,50,50,,,,complete
ch_16UfAw2Iw89207WN3WnjHyzj,07/31/2015,12:00pm,Lake Forrest Park,WA,98155,NW Maids,139.00,140.00,279.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/30/2015 4:54pm,Matt Blair (Customer),,"Two Bedroom Apt:  $139 Flat rate, 1 x inside the oven, inside windows, Move in/Move out cleaning (w/fridge) $60",51,51,,,,complete
ch_16UViK2Iw89207WNRrNk2qu8,07/31/2015,3:00pm,Seattle,WA,98144,NW Maids,189.00,0.00,190.65,Every two weeks 15% off -Most Popular-,,0.00,28.35,0.00,0.00,07/17/2015 12:29am,,08/18/2015 9:00am,Four Bedroom Home:  $189 Flat rate,49,46,,,,complete
ch_16Vd4S2Iw89207WNc89k5Ux8,08/03/2015,3:00pm,Burien,WA,98168,NW Maids,159.00,0.00,135.15,Every two weeks 15% off -Most Popular-,,0.00,23.85,0.00,0.00,08/02/2015 12:33pm,Andrew Lake (Customer),08/19/2015 3:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,55,54,,,,complete
ch_16X3Sd2Iw89207WN1M7ywFxC,08/07/2015,9:00am,Bothell,WA,98012,NW Maids,189.00,80.00,228.65,One Time Cleaning,KIM15,40.35,0.00,0.00,0.00,08/04/2015 11:01am,Kim Burton (Customer),,"Four Bedroom Home:  $189 Flat rate, deep cleaning, 1 x inside the fridge",57,56,,,,complete
ch_16XZmF2Iw89207WN7Xv7ARQt,08/08/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,08/01/2015 5:33pm,Emily Harnish (Customer),08/15/2015 9:00am,Four Bedroom Home:  $189 Flat rate,54,53,,,,complete
ch_16Xknt2Iw89207WNI835AdAq,08/09/2015,12:00pm,SEATTLE,WA,98108,NW Maids,189.00,140.00,329.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/07/2015 7:23pm,Nicholas Sayers (Customer),02/27/2016 12:00pm,"Four Bedroom Home:  $189 Flat rate, deep cleaning, 1 x inside the fridge, inside windows",60,62,,,,complete
ch_16YTKl2Iw89207WNaHxuseJS,08/10/2015,12:00pm,Seattle,WA,98103,NW Maids,159.00,160.00,319.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/04/2015 2:04pm,Jana Peterson (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning, 1 x inside the fridge, inside windows, inside cabinets (empty)",58,57,,,,complete
ch_16YTKY2Iw89207WN8jb4kzpZ,08/10/2015,12:00pm,Seattle,WA,98102,NW Maids,119.00,120.00,269.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/09/2015 10:36am,Ilya Ornatov (Admin),08/14/2015 12:00pm,"One Bedroom Apt:  $119 Flat rate, deep cleaning, inside windows",62,63,,,,complete
ch_16YTLh2Iw89207WNp0XeaxaE,08/11/2015,9:00am,Redmond,WA,98052,NW Maids,139.00,20.00,159.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/06/2015 6:05pm,Pam Gibson (Customer),,"Two Bedroom Apt:  $139 Flat rate, 1 x inside the fridge",59,61,,,,complete
ch_16ZYns2Iw89207WNnlbyW1b2,08/14/2015,9:00am,Seattle,WA,98121,NW Maids,139.00,40.00,152.15,One Time Cleaning,SUMMERCLEAN2015,26.85,0.00,0.00,0.00,08/11/2015 9:48pm,Itamar Cohen (Customer),05/07/2016 12:00pm,"Two Bedroom Apt:  $139 Flat rate, 1 x inside the fridge, 1 x inside the oven",65,65,,,,complete
ch_16ZYnw2Iw89207WNDUfWHfEA,08/14/2015,12:00pm,Seattle,WA,98102,NW Maids,119.00,0.00,95.20,One Time Cleaning,,0.00,0.00,0.00,0.00,08/12/2015 2:57pm,Ilya Ornatov (Admin),09/07/2015 12:00pm,One Bedroom Apt:  $119 Flat rate,66,63,,,,complete
ch_16ZuvH2Iw89207WNwFpnHh7L,08/15/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,08/09/2015 12:18am,,08/21/2015 9:00am,Four Bedroom Home:  $189 Flat rate,61,53,,,,complete
ch_16ah852Iw89207WNciytBjzS,08/17/2015,3:00pm,Seattle,WA,98105,NW Maids,119.00,20.00,139.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/14/2015 11:18am,Elizabeth Hachten (Customer),09/22/2015 12:00pm,"One Bedroom Apt:  $119 Flat rate, 1 x load of laundry (wash/dry)",68,67,,,,complete
ch_16ah7v2Iw89207WNjCNrjMFr,08/18/2015,9:00am,Seattle,WA,98102,NW Maids,119.00,0.00,86.15,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,07/31/2015 12:20am,,08/27/2015 10:00am,One Bedroom Apt:  $119 Flat rate,52,50,,,,complete
ch_16b01S2Iw89207WNBFFk1yvx,08/18/2015,9:00am,Seattle,WA,98144,NW Maids,189.00,0.00,160.65,Every two weeks 15% off -Most Popular-,,0.00,28.35,0.00,0.00,08/01/2015 12:18am,,09/04/2015 9:00am,Four Bedroom Home:  $189 Flat rate,53,46,,,,complete
ch_16b01f2Iw89207WNP8PxI8nN,08/18/2015,3:00pm,Seattle,WA,98121,NW Maids,139.00,0.00,118.15,One Time Cleaning,,0.00,0.00,0.00,0.00,08/16/2015 4:57pm,Mariangela Zanchetta (Customer),09/17/2015 3:00pm,Two Bedroom Apt:  $139 Flat rate,71,69,,,,complete
ch_16bMty2Iw89207WNOkNbfome,08/19/2015,9:00am,Seattle,WA,98136,NW Maids,159.00,0.00,159.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/17/2015 11:52am,Melissa McNeel (Customer),,Three Bdrm Townhome/SF home:  $159 Flat rate,74,71,,,,complete
ch_16b01Z2Iw89207WNOdsW94HR,08/19/2015,3:00pm,Burien,WA,98168,NW Maids,159.00,0.00,108.00,Every two weeks 15% off -Most Popular-,,0.00,23.85,0.00,0.00,08/04/2015 12:20am,,08/31/2015 3:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,56,54,,,,complete
ch_16bknk2Iw89207WNIyY7k92S,08/20/2015,3:00pm,Seattle,WA,98199,NW Maids,189.00,60.00,249.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/17/2015 11:50am,Behrooz Ghorbani (Customer),,"Four Bedroom Home:  $189 Flat rate, Move in/Move out cleaning (w/fridge) $60",73,70,,,,complete
ch_16c5nZ2Iw89207WNwy28lqRf,08/21/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,08/16/2015 12:20am,,09/04/2015 9:00am,Four Bedroom Home:  $189 Flat rate,69,53,,,,complete
ch_16c5ne2Iw89207WN0U8AI5fD,08/21/2015,12:00pm,Seattle,WA,98101,NW Maids,119.00,120.00,239.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/19/2015 7:11pm,Magenta Pierrot (Customer),,"One Bedroom Apt:  $119 Flat rate, 1 x inside the fridge, 1 x inside the oven, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",79,74,,,,complete
ch_16cjYc2Iw89207WN7Bwjxl7x,08/22/2015,12:00pm,Seattle,WA,98136,NW Maids,139.00,0.00,118.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/19/2015 3:36pm,Donald Spann (Staff),10/03/2015 9:00am,Two Bedroom Apt:  $139 Flat rate,78,73,,,,complete
ch_16cpBe2Iw89207WNWNyF4llq,08/23/2015,9:00am,seattle,WA,98118,NW Maids,159.00,0.00,159.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/21/2015 7:10pm,Zsanalie Moore (Customer),10/07/2016 3:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,81,76,,,,complete
ch_16dXh02Iw89207WNV2rMqrlD,08/25/2015,9:00am,Seattle,WA,98112,NW Maids,159.00,40.00,199.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/23/2015 5:16pm,Melanie Pepin (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, 1 x inside the oven, inside cabinets (empty)",83,77,,,,complete
ch_16eILu2Iw89207WNf2NEQbCk,08/26/2015,12:00pm,Seattle,WA,98116,NW Maids,189.00,80.00,269.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/20/2015 8:49am,Roxanne Bridge (Customer),,"Four Bedroom Home:  $189 Flat rate, deep cleaning, Finished Basement (standard) $20",80,75,,,,complete
ch_16eIMt2Iw89207WNChzn0yfy,08/27/2015,10:00am,Seattle,WA,98102,NW Maids,119.00,0.00,101.15,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,08/11/2015 12:40am,Ilya Ornatov (Admin),09/03/2015 12:00pm,One Bedroom Apt:  $119 Flat rate,64,50,,,,complete
ch_16ezdn2Iw89207WNcsB6WP7z,08/29/2015,9:00am,Seattle,WA,98119,NW Maids,139.00,80.00,219.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/27/2015 7:35pm,Alan Carrier (Customer),,"Two Bedroom Apt:  $139 Flat rate, 1 x inside the oven, Move in/Move out cleaning (w/fridge) $60",95,86,,,,complete
ch_16ezdr2Iw89207WN9eWxJegG,08/29/2015,12:00pm,Seattle,WA,98122,NW Maids,139.00,80.00,186.15,One Time Cleaning,SUMMERCLEAN2015,32.85,0.00,0.00,0.00,08/26/2015 10:17am,Konstantin Makarychev (Customer),07/26/2016 9:00am,"Two Bedroom Apt:  $139 Flat rate, deep cleaning, 1 x inside the fridge",88,82,,,,complete
ch_16fiiO2Iw89207WN9KBAvAc5,08/31/2015,9:00am,Seattle,WA,98199,NW Maids,139.00,80.00,219.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/26/2015 2:31pm,Stephanie Lynne (Customer),07/08/2019 9:00am,"Two Bedroom Apt:  $139 Flat rate, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",89,83,,,,complete
ch_16fijd2Iw89207WNyQr0gUns,08/31/2015,3:00pm,Burien,WA,98168,NW Maids,159.00,0.00,135.15,Every two weeks 15% off -Most Popular-,,0.00,23.85,0.00,0.00,08/16/2015 11:25pm,Ilya Ornatov (Admin),09/14/2015 3:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,72,54,,,,complete
ch_16g51A2Iw89207WNWqqSReMI,09/01/2015,9:00am,Seattle,WA,98102,NW Maids,119.00,0.00,119.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/27/2015 11:52am,Laura Vonnahme (Customer),,One Bedroom Apt:  $119 Flat rate,90,84,,,,complete
ch_16gTPI2Iw89207WNsJPuQKaa,09/02/2015,9:00am,seattle,WA,98126,NW Maids,159.00,80.00,215.10,Monthly 10% off,,0.00,23.90,0.00,0.00,08/27/2015 4:02pm,Stefanie Summers (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning, Finished Basement (standard) $20",91,85,,,,complete
,09/03/2015,12:00pm,Seattle,WA,98102,NW Maids,119.00,0.00,0.00,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,08/28/2015 12:20am,,09/24/2015 10:00am,One Bedroom Apt:  $119 Flat rate,96,50,,,,complete
ch_16grGi2Iw89207WNKxWs0WJc,09/03/2015,12:00pm,Seattle,WA,98121,NW Maids,119.00,60.00,0.00,One Time Cleaning,SUMMERCLEAN2015,26.85,0.00,0.00,0.00,09/01/2015 9:08am,John Fernandez (Customer),,"One Bedroom Apt:  $119 Flat rate, deep cleaning",101,90,,,,complete
ch_16hMgY2Iw89207WNYkWx1Q1Q,09/03/2015,3:30pm,Seattle,WA,98125,NW Maids,159.00,60.00,160.15,Every two weeks 15% off -Most Popular-,,0.00,32.85,0.00,0.00,08/19/2015 10:58am,Jennifer Clay (Customer),09/19/2015 9:00am,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning",77,66,,,,complete
ch_16hAIp2Iw89207WNPpeRvkei,09/04/2015,9:00am,Seattle,WA,98144,NW Maids,189.00,0.00,145.65,Every two weeks 15% off -Most Popular-,,0.00,28.35,0.00,0.00,08/19/2015 12:21am,,,Four Bedroom Home:  $189 Flat rate,75,46,,,,complete
ch_16hAIu2Iw89207WNgB8rDNxe,09/04/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,08/25/2015 8:40am,Emily Harnish (Customer),09/11/2015 9:00am,Four Bedroom Home:  $189 Flat rate,86,53,,,,complete
ch_16hXjL2Iw89207WNqXRgw9oP,09/05/2015,12:00pm,Seattle,WA,98117,NW Maids,119.00,0.00,119.00,One Time Cleaning,,0.00,0.00,0.00,0.00,09/03/2015 3:28pm,Sharat Sakala (Customer),,One Bedroom Apt:  $119 Flat rate,106,93,,,,complete
ch_16hXjP2Iw89207WNuy8u1Or0,09/05/2015,3:00pm,Seattle,WA,98101,NW Maids,119.00,0.00,101.15,One Time Cleaning,SUMMERCLEAN2015,17.85,0.00,0.00,0.00,09/01/2015 3:18pm,Yoni Bookstaber (Customer),09/07/2016 3:00pm,One Bedroom Apt:  $119 Flat rate,102,91,,,,complete
ch_16htOC2Iw89207WNZm5ZpyNk,09/06/2015,3:00pm,Seattle,WA,98107,NW Maids,159.00,160.00,319.00,One Time Cleaning,,0.00,0.00,0.00,0.00,09/05/2015 12:11am,Weili Gu (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, 1 x inside the oven, inside windows, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",108,95,,,,complete
ch_16iFoy2Iw89207WNEPmRDBnK,09/07/2015,12:00pm,Seattle,WA,98102,NW Maids,119.00,0.00,0.00,One Time Cleaning,,0.00,0.00,0.00,0.00,08/30/2015 11:28am,Ilya Ornatov (Admin),09/17/2015 10:00am,One Bedroom Apt:  $119 Flat rate,99,63,,,,complete
ch_16jLm22Iw89207WNQiNMVA6A,09/10/2015,9:00am,SEATTLE,WA,98133,NW Maids,139.00,0.00,125.10,Monthly 10% off,,0.00,13.90,0.00,0.00,09/07/2015 9:32am,Sheila Quinn (Customer),10/08/2015 9:00am,Two Bedroom Apt:  $139 Flat rate,112,97,,,,complete
ch_16jiOS2Iw89207WNBIwcRzie,09/11/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,09/05/2015 12:23am,,09/18/2015 9:00am,Four Bedroom Home:  $189 Flat rate,110,53,,,,complete
ch_16jiOP2Iw89207WNHx2XIlgU,09/11/2015,9:00am,SEattle,WA,98199,NW Maids,189.00,80.00,269.00,One Time Cleaning,,0.00,0.00,0.00,0.00,09/08/2015 8:03pm,Nicole Patel (Customer),,"Four Bedroom Home:  $189 Flat rate, inside windows, Finished Basement (standard) $20",114,99,,,,complete
ch_16jiOK2Iw89207WNbVgQ6Wzx,09/11/2015,9:00am,Des Moines,WA,98198,NW Maids,159.00,60.00,219.00,One Time Cleaning,,0.00,0.00,0.00,0.00,09/09/2015 2:26pm,Georgeanne Smith (Customer),07/29/2016 9:00am,"Three Bdrm Townhome/SF home:  $159 Flat rate, inside windows",116,101,,,,complete
ch_16krVv2Iw89207WNXT76EqRf,09/14/2015,9:00am,seattle,WA,98144,NW Maids,159.00,100.00,259.00,One Time Cleaning,,0.00,0.00,0.00,0.00,09/09/2015 5:14am,Kathy Kelley albert (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, inside cabinets (empty), Finished Basement (standard) $20, Move in/Move out cleaning (w/fridge) $60",115,100,,,,complete
ch_16krW02Iw89207WNhTpdrTCo,09/14/2015,3:00pm,Burien,WA,98168,NW Maids,159.00,0.00,135.15,Every two weeks 15% off -Most Popular-,,0.00,23.85,0.00,0.00,09/01/2015 12:27am,,09/28/2015 3:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,100,54,,,,complete
ch_16l9SJ2Iw89207WNIyLpCnwS,09/15/2015,9:00am,SEATTLE,WA,98105,NW Maids,159.00,120.00,260.00,One Time Cleaning,SUMMERCLEAN2015,41.85,0.00,0.00,0.00,09/10/2015 12:15pm,Adrian Ene-Stroescu (Customer),,"Three Bdrm Townhome/SF home:  $159 Flat rate, deep cleaning, 1 x inside the fridge, 1 x inside the oven, inside cabinets (empty)",117,102,,,,complete
ch_16lWvY2Iw89207WNG7BFcDrm,09/16/2015,12:00pm,Seattle,WA,98121,NW Maids,139.00,0.00,118.15,Every two weeks 15% off -Most Popular-,SUMMERCLEAN2015,20.85,0.00,0.00,0.00,09/07/2015 1:18pm,William Quijano (Customer),09/30/2015 12:00pm,Two Bedroom Apt:  $139 Flat rate,113,98,,,,complete
ch_16luGH2Iw89207WNytI1g681,09/17/2015,10:00am,Seattle,WA,98102,NW Maids,119.00,0.00,95.50,One Time Cleaning,,0.00,0.00,0.00,0.00,09/16/2015 2:10pm,Ilya Ornatov (Admin),,One Bedroom Apt:  $119 Flat rate,125,63,,,,complete
ch_16luGL2Iw89207WNQttNnxG6,09/17/2015,3:00pm,Seattle,WA,98121,NW Maids,119.00,0.00,101.15,Monthly 10% off,,0.00,11.90,0.00,0.00,08/19/2015 8:10am,Ilya Ornatov (Admin),10/17/2015 12:00pm,One Bedroom Apt:  $119 Flat rate,76,69,,,,complete
ch_16mGCG2Iw89207WN51e3rYKQ,09/18/2015,9:00am,Issaquah,WA,98029,NW Maids,189.00,0.00,151.20,Weekly Cleaning 20% off,,0.00,37.80,0.00,0.00,09/12/2015 12:27am,,,Four Bedroom Home:  $189 Flat rate,119,53,,,,complete
ch_16nDeM2Iw89207WNn6lGw3HX,09/19/2015,9:00am,Seattle,WA,98125,NW Maids,159.00,0.00,150.00,Every two weeks 15% off -Most Popular-,,0.00,23.85,0.00,0.00,09/01/2015 10:09pm,Ilya Ornatov (Admin),10/02/2015 12:00pm,Three Bdrm Townhome/SF home:  $159 Flat rate,103,66,,,,complete
